Package,LibPath,Version,Priority,Built
fftwtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9-8,NA,3.3.2
forcats,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.2
foreach,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.4,NA,3.3.2
foreign,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8-69,recommended,3.3.2
formatR,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5,NA,3.3.2
Formula,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-2,NA,3.3.2
fs,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.3
gam,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.14-4,NA,3.3.2
gbm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1.3,NA,3.3.2
gdata,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.18.0,NA,3.3.2
gdtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.6,NA,3.3.2
geosphere,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5-7,NA,3.3.2
GGally,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3.2,NA,3.3.2
ggplot2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.2.1,NA,3.3.2
ggplot2movies,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0.1,NA,3.3.0
gh,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.1,NA,3.3.3
git2r,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.21.0,NA,3.3.2
glue,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.2
gmodels,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.16.2,NA,3.3.0
gmp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5-13.1,NA,3.3.2
goftest,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-1,NA,3.3.2
gpbalancer,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.0,NA,3.3.3
gpexperiments,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.0,NA,3.3.3
graphics,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
grDevices,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
grid,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
gridBase,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4-7,NA,3.3.0
gridExtra,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.3,NA,3.3.2
gsl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.9-10.3,NA,3.3.2
gtable,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.0
gtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.5.0,NA,3.3.0
gurobi,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.0-2,NA,3.3.1
haven,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.3
here,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1,NA,3.3.2
hexbin,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.27.2,NA,3.3.3
highlight,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.7.2,NA,3.3.2
highlite,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0.0.9000,NA,3.3.3
highr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6,NA,3.3.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,4.1-1,NA,3.3.2
hms,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.1,NA,3.3.3
htmlTable,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.11.2,NA,3.3.3
htmltools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.6,NA,3.3.2
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0,NA,3.3.3
httpuv,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3.5,NA,3.3.2
httr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3.1,NA,3.3.2
ibdreg,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.5,NA,3.3.0
ica,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-1,NA,3.3.0
ids,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.1,NA,3.3.2
igraph,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.2,NA,3.3.2
ini,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.0,NA,3.3.2
inline,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.14,NA,3.3.0
intergraph,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0-2,NA,3.3.0
intervals,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.15.1,NA,3.3.0
irlba,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.3.2,NA,3.3.3
iterators,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.9,NA,3.3.2
jsonlite,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5,NA,3.3.2
KernSmooth,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.23-15,recommended,3.3.3
knitr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.18,NA,3.3.2
labeling,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3,NA,3.3.0
lars,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2,NA,3.3.0
lattice,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.20-35,recommended,3.3.2
latticeExtra,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6-28,NA,3.3.0
lazyeval,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.1,NA,3.3.2
lazyrmd,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.0
LearnBayes,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.15,NA,3.3.0
lme4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-15,NA,3.3.2
lmtest,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9-35,NA,3.3.2
locfit,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5-9.1,NA,3.3.0
loo,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.2
lookup,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0.0.9000,NA,3.3.3
lsmeans,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.27-61,NA,3.3.2
lubridate,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.7.1,NA,3.3.2
magrittr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5,NA,3.3.0
mapproj,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-5,NA,3.3.2
maps,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.2.0,NA,3.3.2
maptools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9-2,NA,3.3.2
markdown,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8,NA,3.3.2
MASS,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.3-48,recommended,3.3.2
Matching,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,4.9-2,NA,3.3.0
MatchIt,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.0.2,NA,3.3.2
Matrix,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-12,recommended,3.3.2
matrixcalc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-3,NA,3.3.0
MatrixModels,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4-1,NA,3.3.0
matrixStats,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.53.0,NA,3.3.3
maxLik,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-4,NA,3.3.0
mclust,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,5.4,NA,3.3.2
memisc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.99.14.9,NA,3.3.2
memoise,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.3
methods,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
mgcv,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8-23,recommended,3.3.3
microbenchmark,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4-4,NA,3.3.3
mime,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5,NA,3.3.0
miniUI,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.1,NA,3.3.0
minqa,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.4,NA,3.3.0
miscTools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6-22,NA,3.3.2
mnormt,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5-5,NA,3.3.0
modelr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.1,NA,3.3.2
multcomp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4-8,NA,3.3.2
munsell,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.3,NA,3.3.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-7,NA,3.3.3
network,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.13.0,NA,3.3.0
nlme,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.1-131,recommended,3.3.3
nloptr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.4,NA,3.3.0
NMF,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.20.6,NA,3.3.0
nnet,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.3-12,recommended,3.3.3
np,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.60-6,NA,3.3.3
numDeriv,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2016.8-1,NA,3.3.0
openssl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9.9,NA,3.3.2
packagedocs,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.0,NA,3.3.0
packrat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.8-1,NA,3.3.0
parallel,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
pbkrtest,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4-7,NA,3.3.2
pcaPP,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.9-73,NA,3.3.3
