Package,LibPath,Version,Priority,Built
utf8,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.3,NA,3.3.2
utils,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
uuid,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-2,NA,3.3.0
viridis,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.1,NA,3.3.2
viridisLite,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.2
whisker,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3-2,NA,3.3.0
withr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1.1,NA,3.3.2
xml2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.2
xtable,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8-2,NA,3.3.0
xts,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.10-1,NA,3.3.2
yaml,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1.16,NA,3.3.2
zoo,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8-1,NA,3.3.2
